,0
35,"35


Birdem


Shahbagh, Dhaka


8616641-50"
36,"36


Bnsb Dhaka


Eye Hospital Mirpur-1, Dhaka


8014476"
37,"37


Brain & Maind Hospital Ltd


149/A, Airport Road, Farmgate, Baityl Shoraf Mosque Complex


8120710"
38,"38


Brighton Hospital Ltd


163, Sonargaon Road Hitirpool, Dhaka - 1205


8626901,9671186"
39,"39


Brighton Hospital Ltd


169, Sonargaon road, Hatirpool


8626901-3"
40,"40


Bumrungrad Hospital


House- 154, Road- 11, Block- E, Banani, Dhaka


8855254"
41,"41


Cancer Home Cancer & Breast Clinic


GP-Cha, 149/1, Mohakhali


8815244"
42,"42


Care Madical Center Ltd


41, Chamelibagh, Shantinagar


8318827, 9351190"
43,"43


Central Hospital Ltd


House # 2, Road # 5, Green Road, Dhanmondi


9660015-19"
44,"44


Centre For Health And Development Medical Complex


(Chd Medical Comple) House # 16, Road # 16, Sector # 4, Uttara Model Town


8920670"
45,"45


Centre For The Rehabilitation Of The Paralysed (Crp)


Post CRP Chapin, Savar


7710464-5, 7711766"
46,"46


Chandshi Medical Centre


House # 9, Road # 27, Block # K, Banani


8821875, 9554571"
47,"47


China-Bangla Hospital (Jv) Ltd


Plot # 1, Road # 7, Sector # 1, Uttara


8913674, 8913606"
48,"48


Cholera Hospital (Icddrb)


Dhaka, Mohkhali


871751-60,600171-8"
49,"49


Christian Medical Hospital


6/3, Nadda, Baridhara (North)


9886298, 8813375"
50,"50


City Hospital (Pvt) Ltd


69/1/1, Panthapath


8617852, 8623205"
51,"#


Name


Address


Mobile"
52,"51


City Hospital Ltd


69/1/1, Panthpath Dhaka


8623205,8617852"
53,"52


CMH (Dhaka Cantonment)


Dhaka


882770"
54,"53


Community Eye Hospital


40, New Elephant Road (1st floor), Dhaka

 "
55,"54


Community Hospital


190/1, Wireless Rail Gate, Baramaghbazar, Dhaka


9351190-1, Fax 882-2-93387706"
56,"55


City Hospital (Pvt) Ltd


69/1/1, Panthapath


8617852, 8623205"
57,"56


Community Maternity Hospital


22, Bijay Nagar


9358513"
58,"57


Control Of Diarrhoeal Disease Programme


1/13, Humayun Road, Block # B, Mohammadpur


9114574, 9114581"
59,"58


Crescent Gastroliver & General Hospital Ltd


House- 60, Road- 8/A, Dhanmondi R/A, Dhaka


9116851"
60,"59


Crescent Hospital & Diagnostic Complex Ltd


22/2, Babor Road, Mohammadpur


9117524, 8119775"
61,"60


Crescent Hospital & Dignostic


22/2, Babar Road, Mohammadpur, Dhaka


9119524, 8119775"
62,"61


Cresent Gestolever & General Hospital


House # 60, Road # 8/A, Dhanmondi R/A


9116851"
63,"62


Delta Medical Centre Ltd


House # 20, Raod # 4, Dhanmondi R/A


8617141-3"
64,"63


Dhaka Community Hospital


190/1, Baro Moghbazar, Wireless Railgate


9351190-91"
65,"64


Dhaka Ent (Ear, Nose, Thot) Hospital


House # 56, Road # 4/A, Dhanmondi R/A


8617503, 9613986"
66,"65


Dhaka General Hospital (Pvt) Ltd


17, Hatkhola Road


7115351, 7116708"
67,"66


Dhaka Medical College & Hospital


Polashi, Dhaka


8616744, 9663429"
68,"67


Dhaka Monorogh Chinic


House # 13, Road # I Block # 11/A, Mirpur Dhaka


9005050"
69,"68


Dhaka National Hospital Ltd


House # 55/1, Road # 27 (Old) 16 (New), Dhanmondi R/A


8122588"
70,"69


Dhaka Orthopaedic Hospital


843, Ring Road, Shamoli, Dhaka-1207


9112684, 912603"
71,"70


Dhaka Renal Centre & General Hospital


5 Green Corner, Green Road,Dhaka-1205


8610928, 8621841-2"
72,"71


Dhaka Shishu Hospital


Sher-E-Bangla Nagar, Dhaka


8116061-62, 8114571-72"
73,"72


Dhanmondi Hospital (Pvt) Ltd


House # 19/E, Green Road, Middle of Road # 6 & 7, Dhanmondi


8628849"
74,"73


Diabetic Association Of Bangladesh


122, Kazi Nazrul Islam Avenue, Shahbagh


8616641-50 Ext 2225"
75,"74


Diagnosis


44/C, Ahsad Avenue, Mohammadpur


814822"
76,"75


Diganta Anti Drug Hospital


House # 353, Road # 14, Block # B, Chanduaon R/A


031-671393"
77,"76


Doctors General Hospital


31/32, DIT Industrial Area, Postogola


7410731, 7413239"
78,"77


Dr. Salahudding Hospital


House # 37, Road # 9/A, Dhanmondi R/A


9122264, 9121779"
79,"78


Dr. Sultanas Poly Clinic


651, Shahinbagh, Tejgaon


9115244"
80,"79


Dushta Shasthya Hospital


(D.S.K) 21/1, Khilji Road, Mohammadpur


8124952"
81,"80


Dustha Shasta Hospital


21/1, Khiljee Road, Mohammadpur,Dhaka-1207


8124952"
82,"81


Eden Malticare Hospital


753, Satmajid Road Dhanmondi, Dhaka-1209


8150507-10,8151506"
83,"82


Farabi General Hospital


Road # 14 (New), House # 8/3,Dhanmondi R/A, Dhaka-1209


81222471,9140442"
84,"83


Fashion Eye Hospital Ltd


98/6-A, Elephant Road, Bara Moghbazar


9338986, 9343961"
85,"84


Faud Al Khatib Hospital


Almas Tower, 282/1, 1st Colony, Majar Road, Mirpur


9007188, 9004317, 8013638"
86,"85


Federal Medical College Hospital Ltd


20, Link Road, Bangla Motor


8613097-8"
87,"86


Gastroliver Hospital & Research Institute


69/D, Green Road Panthpath,Dhaka-1205


8620960,8625393,8627853"
88,"87


General Hospital Ltd


House # 60, Road # 8/A, Dhanmondi, R/A, Dhaka


9116851,91137181,9137182"
89,"88


General Medical Hospital (Pvt.) Ltd


103, Elephant Road, Dhaka-1205


861932"
90,"89


Grain & Mind Hospital Ltd


149/A, Airport Road, Farmgate, Baitus Sharaf Mosque Complex


8120710"
91,"90


Green Hospital


House # 31, Road # 6, Dhanmondi R/A


8612412"
92,"91


Green Land Hospital


Azampur, Uttara, Dhaka


8914175"
93,"92


Greenland Hospital


House # 4, Road # 4, Sector # 7, Uttara Model Town


8912663"
94,"93


Harun Eye Foundation & Green Hospital


Road # 6, House # 31, Dhanmondi R/A, Dhaka


8612412, 8619068"
95,"94


Hasnabad Hospital (Pvt) Ltd


South West Side of Buri Ganga Bridge, Hasnabad


7419977"
96,"95


Health And Hope Ltd


152/1-H, Green Road, Panthopath (Green Road - Panthopath Crossing)


9145786"
97,"96


Holy Family R. C. Hospital


Eskaton Garden Road, Dhaka


8311721-25"
98,"97


Hyfia General Hospital


1/A, Adabar, Ring Road, Shamoli, Dhaka


9120519"
99,"98


I.R. Ltd


House # 50, Road # 2A Dhanmondi


8618085"
100,"99


Ibn Sina Hospital


House # 47, Road # 9/A, Satmasjid Road, Dhanmondi


9128835-7, 9126625-5"
101,"100


Icddrb


Mohakhali


8811751-60"
102,"#


Name


Address


Mobile"
103,"101


dial General Hospital Ltd


50/A, Shantinagar


9357385"
104,"102


Institute Of Chestdiseases Hospital


Mohakhali, Dhaka


8816268-72"
105,"103


Institute Of Child Health And Shishu Hospital


6/2, Barabag, Section # 2, Mirpur


8023894-5"
106,"104


International Hospital


6, Eskaton Garden, Moghbazar


9333739"
107,"105


Islami Bank Hospital


24/B, Outer Cercular Road, Dhaka


9336421"
108,"106


Islamia Arogya Sadan Ltd


House # 35, Road # 1, Dhanmondi R/A


8631988"
109,"107


Islamia Eye Hospital


Farmgate, Dhaka


8112856, 319315, 9119315"
110,"108


Jahangirnagar Hospital Ltd


34/1, Manir Hossain Lane, Swamibagh New Road, Dhajagonj


7125152-4"
111,"109


Khaliqun Nessa General Hospital


61, Becharam Dewri


7312449, 7313583"
112,"110


Lion Foundation Eye Hospital


Lions Bhaban, Begum Rokya Sarani, Agargoan, Dhaka


9131990, 9138711, 8110894"
113,"111


Made H Clinic


62, Lake Circus, Kalabagan


9112076, 8117043"
114,"112


Maf Air Support


House # 299, Lane # 4, DOHS, Baridhara


8810164"
115,"113


Malakunessa General Hospital


House # 50, Road # 4/A, Dhanmondi, Dhaka

 "
116,"114


Maula Buksh Sardar Charitable Hospital


24, Mohini Mohon Das Lane, Farashgonj


7120065"
117,"115


Medi Prime Orthopaedic Hospital


1/9, Humayan Road, College Gate,Mohammadpur, Dhaka-1207


9139226"
118,"116


Medistine Hospital


218, Outer Circular Road,Moghbazar, Dhaka


9345003"
119,"117


Meditech General Hospital (Pvt) Ltd


House # 21, Road # 2, Nikunja


2 8918345"
120,"118


Mental Health Care


19/12, Babar Road, Mohammadpur,Dhaka

 "
121,"119


Meriland Hospital


Sector # 1, Road # 13, House # 4, Uttara


8919481"
122,"120


Millennium Heart & Feneral Hospital


4/9, Block # F, Lalmatia, Mohammadpur


9122115"
123,"121


Mirpur General Hospital


House # 35, Road # 1, Sector # 10, Mirpur


8015444"
124,"122


Mirpur Holy Crescent Hospital (Pvt) Ltd


33, South Bishil, Mirpur-1, Dhaka


9000633"
125,"123


Modern Clinic Of Surgery & Midwifery


House # 5, Road # 11, Gulshan - 1


8821578"
126,"124


Modern Harbal


12, Shantinagar


9357693, 9358052"
127,"125


Mojibunnessa Eye Hospital Ltd


House # 11 (New), Road # 28 (Old) 25 (New), Dhanmondi R/A, Dhaka


9130638, 9130701"
128,"126


Monoawara Hospital (Pvt) Ltd


54, Shidishwary Road, Dhaka


8318135,8318529"
129,"127


Monon Psychiatry Hospital


150, Mohammadpur (VIP Road),Dhaka


9131958"
130,"128


Monowara General Hospital


Golapbagh, Bishwroad


7519446, 7514717"
131,"129


Mother Care Hospital (Pvt.) Ltd


3/10, Lalmatia, Block - A, Mirpur Road


9119355"
132,"130


Mounty Hospital


House # 67/A, Block - B, Lalmatia


8110864"
133,"131


Mujibunnesa Eye Hospital Ltd


Hosue # 11, Road # 15 (New) 28 (Old), Dhanmondi R/A


9113057, 9130638"
134,"132


Mukti


Hosue # 2, Road # 2, Gulshan # 2, Dhaka


8827147, 606728"
135,"133


Munsor Ali Medical College


Sector # 11, Road # 19, Plot # 1/C, Chowrasta, Uttara


8917978"
136,"134


National Centre For Hearing & Speace


Mohakhali


8822007, 9881535"
137,"135


National Diagnostic Network (Ndn)


69-M, Green Raod, Panthapath


9664834, 8610647"
138,"136


National Heart Foundation Hospital


Mirpur-2, Dhaka


8014914"
139,"137


National Medical College & Hospital


53/1, Johnson Road, Dhaka


7117300"
140,"138


Neurology Foundation & Hospital


3/1, Lake Circus, Kalabagan, Dhaka-1205


8114846"
141,"139


New Al-Rajhi Hosital


32,green Road, Dhaka


8611213"
142,"140


New Mukti Clinic


301, Elephant Road, Dhaka


8611360"
143,"141


Nez-E-Noor Hospital (Pvt)Ltd


House # 59, Road # 10/A (New), Dhanmondi, Dhaka


9117439,9130152, 8123758,8118226"
144,"142


Nibedita Shishu Hospita Ltd


11/1, Hair Street, Wari


7119473"
145,"143


Nirupom Hospital (Pvt) Ltd


House # 118, Road # 9/A, Dhanmondi R/A


8114429"
146,"144


North South Medical Centre


19/10, Babur Road, Block - B, Mohammadpur


9122111, 9126089"
147,"145


O. S. B Eye Hospital


Mirpur, Dhaka


9003088"
148,"146


Ogsb Maternity Hospital


Edgha Mohdhan Zoo Road Mirpur -1, Dhaka


9005490"
149,"147


Orthopedic Hospital (Pangu Hospital)


Shere-e-Bangla Nagar


9112150, 9114075"
150,"148


Padma General Hospital Ltd


290, Sonargaon Road


9661528, 9662502"
151,"149


Pan Pacific Hospital & Training & Recerch Ins


24, Outer Circular Road, South Shahjahanpur


9349794, 9351777"
152,"150


Parkway Healthcare Infomation Centre Suite


B3, Level -10, Road # 53, Gulshan - 2


8850422, 8850423"
153,"#


Name


Address


Mobile"
154,"151


Paroshmani


House # 46, Road # 2, Banani Dhaka- 1213


9889233,9893255"
155,"152


Penta Star Hospital


161/A, Kalabagan, Lakecircus


9113131"
156,"153


Platonic International


538/A, Pearabag, Boro Moghbazar


9342065"
157,"154


Proshanti Hospital Ltd


6, Shantibagh, 3 Outer Citcular Road


8318699, 9348728"
158,"155


Rayel Hospital


House # 2, Road # 7, Block -C, Section -6 Mirpur Dhaka-1216

 "
159,"156


Renaissance Hosspital & Research Institute Ltd


House # 60/A, Road # 4/A, Dhanmondi


9663677, 9664930"
160,"157


Rihd Pangu Hospital


Sher-E-Bangla Nagar, Dhaka


9119234-8"
161,"158


Rmc Hospital & Dignostic Complex Ltd


House # 19, Road # 5, Sector # 7 Uttara Dhaka-1230


8923904,8952157"
162,"159


Rmo, Ibn Sina Hospital


House # 68, Road # 15/A, Dhanmondi R/A


819513-5, 813709"
163,"160


Rog Mukti General Hospital


24, DIT Plot, Postogola


7410504"
164,"161


Royel Hospital (Pvt.) Ltd


31, Eskaton Road


8313096"
165,"162


Rushmono General Hospital


208-9, Outer Circular Road,Moghbazar, Dhaka-1217


8317819, 8317606"
166,"163


S.P.R.C. Hospital


62, Bara Moghbazar


9339089, 9342744"
167,"164


Salvation Specialized Hospital


House No- 36,Road No- 3,Dhanmondi R/A


9674114"
168,"165


Samoly Orthopaedic Hospital


3/KA, RC Culture Housing Society, Ring Road, Shamoli, Dhaka


9121832"
169,"166


Saphena Hospital


111, DIT Road, Malibagh, Dhaka (House # 27, Road #, Dhanmondi, Dhaka)

 "
170,"167


Savar General Hospital


WAPDA Road (1st & 2nd flr.), Malancha, Savar


06226-848"
171,"168


Shaheed Suhrwardi Hospital


Sher-E-Banglanagar, Dhaka


8113478"
172,"169


Shamoli Orthoprdic General Hospital (Pvt) Ltd


3/Ka, P.C Culture Housing Society, Ring Road, Shamoli


9121832"
173,"170


Sharkari Karmachari Hospital


Dhaka


9668017"
174,"171


Shazada General Hospital


Block - D, 1/30, Kalwalapara, Mirpur - 1


8014860"
175,"172


Shefa Nurshing Home


12/10, Babur Road, Block # B, Mohammadpur


9111758, 8010916"
176,"173


Shishu Foundation Hospital


Bara Bagh, Mirpur


9001090"
177,"174


Shoboj Moti Shastha Seba


287/12C, Biswa Road, Khilgaon


9347649, 9347650"
178,"175


Sir Salimullah Medical College & Mitford Hospital


Dhaka


7319002-5,7312398,7117404"
179,"176


Sonargaon Health Care (Pvt.) Ltd


House # 99 (1st Floor), Road # 11/A, (Satmosjid Road), Dhanmondi R/A


8118823"
180,"177


South Asian Hospital Ltd


69/E, Green Road, Panthpath, Dhaka


9665852"
181,"178


South View Hospital (Pvt.) Ltd


House # 1, Main Road # 11, Block - B, Section # 10, Mirpur


8018065"
182,"179


Squar Diagnostic & Hospital Services Ltd Ak Complex (2nd Floor)


19, Green Road Dhaka-1205


8616389"
183,"180


Stoncrast Hospital


House # 362/2, Road # 27 (Old) 16 (New), Dhanmondi


9129402, 9137132"
184,"181


Stone Cursh Hospital


House # 48, Road # 4/A, Dhanmondi R/A, Dhaka


9668482, 9660360"
185,"182


The Barakah General Hospital Ltd


937, Outer Circula Road, Razarbagh


9346265, 9337534"
186,"183


The Kidney Hospital And Dialysis Centre


161/A, Kalabagan, Dhaka - 1205


8122019,8123056"
187,"184


The Mark Ent & General Hospital (Pvt) Ltd


Plot # A/3, Section # 14 Mirpur, Dhaka


9871527, 9872241"
188,"185


The Specialized Hospital (Pvt) Ltd


House # 40, Road # 10/A,Dhanmondi R/A, Dhaka


9118523, 8114230, 8110263"
189,"186


Theol Medical College Hospital


142-143, Cteen Road


9128286, 9124627"
190,"187


Trauma & Orthopaedic Hospital


House # 17, Road # 28(Old),15(New) Dhanmondi R/A, Dhaka

 "
191,"188


Uro Care Medical Center


House # 73, Road # 9/A, Dhanmondi


9126113, 9113694"
192,"189


Uttara Central Hospital


House # 1, Road # 7, Sector # 1, Uttara Model Town


8911551, 8918778"
193,"190


Vision Eye Hospital


House # 27, Road # 27 (Old), Dhanmondi


8113302"
194,"191


Women And Children'S Hospital Pvt.Ltd


House # 48/6, Road # 9/A Dhanmondi, Dhaka


9115458,9121077"
195,"192


Yamagata Dhaka Friendsship Hospital


6/7, Block -A Lalmatia Dhaka


9129354"
196,"193


Z.H. Sikder Women'S College & Hospital (Pvt) Ltd


Monica Estate, (West side of Dhanmondi)


8115951, 8113313"
