,data
71,3.50 CARe Medical College & Hospital    (221 reviews)
72,3.70 Aichi Hospital Ltd.    (219 reviews)
73,3.80 আলোক হেলথকেয়ার এন্ড হাসপাতাল লিঃ    (217 reviews)
74,4.10 Delta Medical College & Hospital    (217 reviews)
75,5.00 Dr. Rajib Dentist Banani    (214 reviews)
76,3.80 Popular Diagnostic Center Unit- 01    (210 reviews)
77,4.90 One Smile Dental Lounge    (210 reviews)
78,4.40 Ibrahim Cardiac Hospital & Research Institute    (205 reviews)
79,4.90 Este Medical Bangladesh    (199 reviews)
80,3.90 Health and Hope Hospital    (198 reviews)
81,4.10 MH Samorita Hospital & Medical College    (198 reviews)
82,4.00 Medical College For Women and Hospital    (197 reviews)
83,4.10 Tairunnessa Memorial Medical College & Hospital    (193 reviews)
84,4.40 National Heart Foundation Hospital    (191 reviews)
85,3.90 Shahabuddin Medical College Hospital    (191 reviews)
86,4.80 Nova IVF Fertility Clinic - Best IVF Clinic in Dhaka    (190 reviews)
87,4.10 Padma Diagnostic Center    (184 reviews)
88,3.40 Better Life Hospital    (183 reviews)
89,4.30 Government Employee Hospital    (180 reviews)
90,3.90 বাংলাদেশ শিশু হাসপাতাল ও ইন্সটিটিউট    (180 reviews)
91,"4.20 Mohammadpur Fertility Services & Training Centre, 100 Bedded Mother & Child Health Hospital    (175 reviews)"
92,3.40 Anowara Medical Services    (170 reviews)
93,"4.40 Ibn Sina Diagnostic and Consultation Center, Malibagh    (170 reviews)"
94,4.90 RobinHood Care - Animal Clinic    (166 reviews)
95,3.60 Eden Multi-Care Hospital    (163 reviews)
96,"4.60 International Centre for Diarrheal Disease Research, Bangladesh    (160 reviews)"
97,4.20 Dhaka Infectious Diseases Hospital    (159 reviews)
98,4.00 Trauma Center & AO Orthopaedic Hospital (Pvt.) Ltd.    (158 reviews)
99,4.70 Update Dental College & Hospital    (157 reviews)
100,« Previous page
101,Next page »
102,View All in Dhaka
103,Bars and Pubs in Dhaka
104,Beaches in Dhaka
105,Coffee Shops in Dhaka
106,Fitness Clubs & Gyms in Dhaka
107,Hospitals & Clinics in Dhaka
108,Hostels in Dhaka
109,Hotels in Dhaka
110,Jewellers in Dhaka
111,Lakes in Dhaka
112,Museums in Dhaka
113,Night Clubs in Dhaka
114,Parks in Dhaka
115,Restaurants in Dhaka
116,Shopping Centers in Dhaka
117,Sights & Landmarks in Dhaka
118,Tourist Attractions in Dhaka
119,Vegan Restaurants in Dhaka
120,Zoos & Aquariums in Dhaka
121,"Paltan, Bangladesh (~1km)"
122,"Azimpur, Bangladesh (~2km)"
123,"Narayanganj, Bangladesh (~15km)"
124,"Tungi, Bangladesh (~20km)"
125,"Dohār, Bangladesh (~32km)"
126,"Char Bhadrāsan, Bangladesh (~49km)"
127,"Narsingdi, Bangladesh (~60km)"
128,"Farīdpur, Bangladesh (~60km)"
129,"Nāgarpur, Bangladesh (~64km)"
130,"Mādārīpur, Bangladesh (~66km)"
